Año estadistico;Semana estadistica;Periodo de Incubación Días;Duración Brote Días;Region de notificación;Región de consumo;Región de notificación es la misma que la de consumo;Expuestos;Enfermos;Tasa Ataque;mediana_enfermos;Total ambulatorios;Total_amb_menor 1;total_amb_1-4;total_amb_5-14;total_amb_15-44;total_ambu_45-64;total_amb_>65;total de Hospitalizados;total_hosp_1-4;total_hosp_5-14;total_hosp_15-44;total_hosp_45-64;total Hosp>65;total sin atención;total S_medica menor 1-4;total S_medica menor 5-14;total S_medica menor 15-44;total S_medica menor 45-64;total S_medica mayor >65;Nauseas;Vomitos;Diarrea;Dolores Cólicos Abdominales;Heces Sanguinolentas;Parestesias;Hipoestesias;Espasmos Musculares;Fiebre;Deshidratación;Hipotensión;Rush Cutáneo;Cefalea;Mialgia;Meteorismo;Otros;Grupo Alimento Sospechoso;local de elaboración;local consumo ;Fractor contribuyente de Contaminación;Factor contribuyente de Supervivencia;Factor contribuyente de Proliferación;Proceso de pérdida de inocuidad;Lugar Perdida Inocuidad;código CIE-10;Tipo de Diagnostico;conclusión del brote;Contempla Inspección
2017;1;1;0;15;15;1;2;2;100;3;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;1;0;0;1;0;0;0;3;3;1;3;2;5;3;1;1;1;1;0
2017;1;0;0;8;8;1;2;2;100;3;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;6;3;1;3;2;5;3;1;1;1;1;0
2017;1;0;0;5;5;1;2;2;100;4;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;3;2;1;7;3;5;2;2;1;1;1;1
2017;1;0;3;7;7;1;23;11;48;3;11;0;7;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;3;7;2;5;2;2;5;2;1;1
2017;1;0;0;13;4;0;3;3;100;3;3;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;3;4;3;3;0;0;2;2;5;2;1;0
2017;1;0;0;9;9;1;7;4;57;4;2;0;0;0;0;1;1;0;0;0;0;0;0;2;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;2;4;1;4;0;0;3;1;8;1;1;1
2017;1;0;0;9;14;0;15;5;33;4;2;0;0;1;1;0;0;0;0;0;0;0;0;3;1;0;2;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;9;3;3;0;0;2;1;1;9;2;1;0
2017;1;0;0;13;13;1;150;45;30;3;45;0;0;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;1;4;0;0;3;1;9;2;1;0
2017;1;0;0;1;1;1;2;2;100;3;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;3;3;1;6;2;2;3;1;9;2;1;0
2017;1;0;1;15;15;1;6;5;83;3;2;0;0;0;2;0;0;0;0;0;0;0;0;3;0;0;2;1;0;0;1;1;1;0;0;0;0;0;1;0;0;1;0;0;0;3;3;1;6;3;2;3;1;9;2;1;0
2017;1;1;0;13;13;1;3;3;100;3;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;3;2;2;3;0;0;2;2;9;2;1;1
2017;1;1;1;13;13;1;6;4;67;3;4;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;4;2;2;4;0;0;2;2;9;2;1;1
2017;1;1;0;13;13;1;3;3;100;3;3;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;1;9;2;2;3;0;0;2;2;9;2;1;1
2017;1;1;0;8;8;1;5;2;40;3;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0;1;9;2;2;6;2;5;4;2;9;2;1;1
2017;1;1;0;13;13;1;12;11;92;3;10;0;0;2;6;0;2;1;0;0;1;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;3;3;1;4;0;0;5;1;10;1;1;0
2017;1;0;0;9;9;1;16;10;63;4;10;0;0;1;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;3;1;4;0;2;3;1;13;2;1;0
2017;1;0;1;2;2;1;6;4;67;3;4;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;3;3;1;4;2;2;3;1;13;2;1;0
2017;1;1;1;2;2;1;3;3;100;3;3;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;3;3;1;6;3;5;3;1;13;2;1;0
2017;1;1;0;15;15;1;13;9;69;3;4;0;0;0;3;1;0;0;0;0;0;0;0;5;0;1;3;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;6;3;1;6;2;5;3;1;13;2;1;0
2017;1;0;1;2;2;1;5;2;40;3;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;7;3;1;6;2;5;3;1;13;2;1;0
2017;1;1;0;8;8;1;3;3;100;3;3;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;9;4;3;7;3;5;4;1;13;2;1;0
2017;1;1;0;5;5;1;3;3;100;4;3;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;1;0;1;0;0;0;1;9;3;1;1;2;3;1;2;14;1;1;1
2017;1;1;0;5;5;1;2;2;100;4;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;1;1;0;0;0;0;1;0;0;1;0;0;0;0;9;1;1;3;3;5;2;2;0;0;0;0
2017;1;0;4;6;6;1;20;3;15;4;3;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
2017;1;0;0;6;6;1;100;2;2;4;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
2017;1;0;0;3;3;1;10;3;30;3;3;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2017;2;1;0;4;4;1;6;6;100;3;6;0;1;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;10;1;1;3;2;5;2;2;1;1;1;1
2017;2;10;0;13;13;1;3;3;100;3;2;0;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;8;3;1;7;0;0;3;1;3;1;1;0
2017;2;1;0;5;5;1;15;9;60;4;9;0;0;0;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;3;3;2;5;1;2;3;1;1;0
2017;2;1;0;4;4;1;2;2;100;3;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;3;1;3;2;5;3;1;6;1;1;1
2017;2;1;0;4;4;1;4;4;100;3;4;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;3;2;2;3;2;2;2;2;7;1;1;1
2017;2;0;0;3;3;1;50;2;4;3;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;9;1;3;3;2;5;4;2;7;1;1;1
2017;2;1;0;8;8;1;4;4;100;3;4;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;5;3;1;4;2;5;3;1;9;2;1;0
2017;2;1;1;9;9;1;9;6;67;4;6;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;9;3;1;3;0;0;3;1;9;2;1;0
2017;2;2;0;13;13;1;2;2;100;3;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;9;3;1;0;0;2;3;1;9;2;1;0
2017;2;3;0;8;8;1;7;7;100;3;7;0;0;2;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;9;3;1;3;1;2;3;1;9;2;1;0
2017;2;0;1;1;1;1;3;3;100;3;3;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;3;4;3;6;2;2;4;1;9;2;1;0
2017;2;1;1;13;13;1;13;9;69;3;9;0;0;3;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;1;9;3;1;3;0;0;5;1;9;2;1;0
2017;2;1;0;13;13;1;2;2;100;3;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;3;1;3;0;0;2;2;2;9;2;1;1
2017;2;1;0;13;13;1;4;3;75;3;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;1;3;2;2;4;0;0;2;2;9;2;1;1
2017;2;0;0;13;13;1;2;2;100;3;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;1;3;2;2;7;0;0;2;2;9;2;1;1
2017;2;1;0;15;15;1;2;2;100;3;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;3;2;2;6;2;5;2;2;9;2;1;1
2017;2;0;0;13;13;1;6;3;50;3;3;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;3;2;2;4;0;0;2;2;9;2;1;1
2017;2;0;0;13;13;1;2;2;100;3;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;3;2;2;4;0;0;2;2;9;2;1;1
