Semana ;P.Incubación;Duración.B;R.notificación;R.consumo;R.N-RC;Expuestos;Enfermos;Tasa Ataque;T.Amb;T.amb1;T.amb1-4;T.amb5-14;T.amb15-44;T.amb45-64;T.amb65;T.Hosp;T.hosp1-4;T.hosp5-14;T.hosp15-44;T.hosp45-64;T.Hosp65;T.s.a;T.s.a1-4;T.s.a5-14;T.s.a15-44;T.s.a45-64;T.s.a65;Nauseas;Vomitos;Diarrea;Dolores ;Heces Sang;Parestesias;Hipoestesias;Espasmos;Fiebre;Deshidratacion;Hipotension;Rush Cutaneo;Cefalea;Mialgia;Meteorismo;Otros;Grupo Sospechoso;L.elaboración;L.consumo ;F.Contaminacion;F.Supervivencia;F.Proliferacion;P.P.I;L.P.I;CIE-10;T.Diag;C.Brote;C.Inspec
1;1;0;15;15;1;2;2;100;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;1;0;0;1;0;0;0;3;3;1;3;2;5;3;1;1;1;1;0
1;0;0;8;8;1;2;2;100;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;6;3;1;3;2;5;3;1;1;1;1;0
1;0;0;5;5;1;2;2;100;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;3;2;1;7;3;5;2;2;1;1;1;1
1;0;3;7;7;1;23;11;48;11;0;7;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;3;7;2;5;2;2;5;2;1;1
1;0;0;13;4;0;3;3;100;3;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;3;4;3;3;0;0;2;2;5;2;1;0
1;0;0;9;9;1;7;4;57;2;0;0;0;0;1;1;0;0;0;0;0;0;2;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;2;4;1;4;0;0;3;1;8;1;1;1
1;0;0;9;14;0;15;5;33;2;0;0;1;1;0;0;0;0;0;0;0;0;3;1;0;2;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;9;3;3;0;0;2;1;1;9;2;1;0
1;0;0;13;13;1;150;45;30;45;0;0;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;1;4;0;0;3;1;9;2;1;0
1;0;0;1;1;1;2;2;100;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;3;3;1;6;2;2;3;1;9;2;1;0
1;0;1;15;15;1;6;5;83;2;0;0;0;2;0;0;0;0;0;0;0;0;3;0;0;2;1;0;0;1;1;1;0;0;0;0;0;1;0;0;1;0;0;0;3;3;1;6;3;2;3;1;9;2;1;0
1;1;0;13;13;1;3;3;100;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;3;2;2;3;0;0;2;2;9;2;1;1
1;1;1;13;13;1;6;4;67;4;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;4;2;2;4;0;0;2;2;9;2;1;1
1;1;0;13;13;1;3;3;100;3;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;1;9;2;2;3;0;0;2;2;9;2;1;1
1;1;0;8;8;1;5;2;40;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0;1;9;2;2;6;2;5;4;2;9;2;1;1
1;1;0;13;13;1;12;11;92;10;0;0;2;6;0;2;1;0;0;1;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;3;3;1;4;0;0;5;1;10;1;1;0
1;0;0;9;9;1;16;10;63;10;0;0;1;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;3;1;4;0;2;3;1;13;2;1;0
1;0;1;2;2;1;6;4;67;4;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;3;3;1;4;2;2;3;1;13;2;1;0
1;1;1;2;2;1;3;3;100;3;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;3;3;1;6;3;5;3;1;13;2;1;0
1;1;0;15;15;1;13;9;69;4;0;0;0;3;1;0;0;0;0;0;0;0;5;0;1;3;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;6;3;1;6;2;5;3;1;13;2;1;0
1;0;1;2;2;1;5;2;40;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;7;3;1;6;2;5;3;1;13;2;1;0
1;1;0;8;8;1;3;3;100;3;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;9;4;3;7;3;5;4;1;13;2;1;0
1;1;0;5;5;1;3;3;100;3;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;1;0;1;0;0;0;1;9;3;1;1;2;3;1;2;14;1;1;1
1;1;0;5;5;1;2;2;100;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;1;1;0;0;0;0;1;0;0;1;0;0;0;0;9;1;1;3;3;5;2;2;0;0;0;0
1;0;4;6;6;1;20;3;15;3;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
1;0;0;6;6;1;100;2;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
1;0;0;3;3;1;10;3;30;3;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;1;0;4;4;1;6;6;100;6;0;1;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;10;1;1;3;2;5;2;2;1;1;1;1
2;10;0;13;13;1;3;3;100;2;0;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;8;3;1;7;0;0;3;1;3;1;1;0
2;1;0;5;5;1;15;9;60;9;0;0;0;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;3;3;2;5;1;2;3;1;1;0
2;1;0;4;4;1;2;2;100;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;3;1;3;2;5;3;1;6;1;1;1
2;1;0;4;4;1;4;4;100;4;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;3;2;2;3;2;2;2;2;7;1;1;1
2;0;0;3;3;1;50;2;4;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;9;1;3;3;2;5;4;2;7;1;1;1
2;1;0;8;8;1;4;4;100;4;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;5;3;1;4;2;5;3;1;9;2;1;0
2;1;1;9;9;1;9;6;67;6;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;9;3;1;3;0;0;3;1;9;2;1;0
2;2;0;13;13;1;2;2;100;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;9;3;1;0;0;2;3;1;9;2;1;0
2;3;0;8;8;1;7;7;100;7;0;0;2;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;9;3;1;3;1;2;3;1;9;2;1;0
2;0;1;1;1;1;3;3;100;3;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;3;4;3;6;2;2;4;1;9;2;1;0
2;1;1;13;13;1;13;9;69;9;0;0;3;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;1;9;3;1;3;0;0;5;1;9;2;1;0
2;1;0;13;13;1;2;2;100;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;3;1;3;0;0;2;2;2;9;2;1;1
2;1;0;13;13;1;4;3;75;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;1;3;2;2;4;0;0;2;2;9;2;1;1
2;0;0;13;13;1;2;2;100;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;1;3;2;2;7;0;0;2;2;9;2;1;1
2;1;0;15;15;1;2;2;100;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;3;2;2;6;2;5;2;2;9;2;1;1
2;0;0;13;13;1;6;3;50;3;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;3;2;2;4;0;0;2;2;9;2;1;1
2;0;0;13;13;1;2;2;100;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;3;2;2;4;0;0;2;2;9;2;1;1
2;0;3;13;13;1;55;17;31;17;0;0;14;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;1;3;4;0;2;0;2;2;9;2;1;0
2;1;0;13;13;1;3;2;67;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;3;4;3;0;2;0;2;2;9;2;1;1
2;0;0;8;8;1;4;2;50;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;9;2;2;6;2;5;4;2;9;2;1;1
2;4;0;8;8;1;4;3;75;3;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;4;3;7;2;5;4;2;9;2;1;1
2;0;5;10;10;1;42;31;74;31;0;6;0;16;9;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;3;2;2;4;0;0;2;2;11;1;1;1
2;1;1;13;5;0;3;2;67;0;0;0;0;0;0;0;2;0;0;0;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;3;2;2;3;0;0;2;2;11;1;1;0
2;0;3;7;7;1;3;3;100;3;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;1;1;0;0;0;0;1;1;0;2;3;1;7;3;5;3;1;12;2;1;1
2;0;1;7;7;1;57;13;23;13;0;0;6;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;3;4;3;2;5;5;1;12;2;1;1
2;0;0;7;7;1;2;2;100;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;3;2;2;4;2;5;2;2;12;2;1;1
2;2;1;5;5;1;5;5;100;1;0;0;0;1;0;0;0;0;0;0;0;0;4;0;0;4;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;3;1;3;2;5;3;1;13;2;1;1
2;0;0;15;15;1;2;2;100;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;3;3;1;6;2;5;4;1;13;2;1;0
2;0;3;2;2;1;258;9;3;9;0;0;0;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;3;1;3;7;3;5;2;2;13;2;1;1
2;0;0;13;13;1;2;2;100;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;3;2;2;4;0;0;2;2;13;2;1;1
2;0;1;2;2;1;102;15;15;15;0;0;0;12;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;3;2;2;6;2;5;2;2;13;2;1;1
2;2;0;5;5;1;2;2;100;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;3;2;2;7;3;5;2;2;13;2;1;1
2;1;1;5;5;1;4;4;100;2;0;0;0;2;0;0;0;0;0;0;0;0;2;1;0;1;0;0;1;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;9;2;2;2;2;5;2;2;13;2;1;1
2;0;1;10;10;1;2;2;100;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;1;0;0;0;0;0;1;10;2;2;7;2;3;2;2;13;2;1;1
2;0;0;12;12;1;2;2;100;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;7;1;1;6;2;5;5;2;13;2;1;1
2;0;0;4;4;1;3;3;100;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;9;3;1;3;2;2;1;1;14;1;1;0
2;0;1;8;8;1;62;62;100;62;0;1;8;34;16;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;9;3;1;1;2;5;4;1;14;1;1;1
2;0;1;8;8;1;5;4;80;4;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;9;3;1;7;3;5;3;1;15;1;1;0
2;1;0;4;4;1;2;2;100;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;9;1;3;3;2;2;2;2;15;1;1;1
2;0;1;4;4;1;3;3;100;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;9;2;2;3;2;2;2;2;15;1;1;1
2;2;0;4;4;1;4;4;100;4;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;9;3;1;3;2;5;3;1;16;1;1;0
2;1;0;4;4;1;4;4;100;4;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;9;1;1;3;2;2;4;1;16;1;1;0
2;0;1;6;6;1;5;2;60;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
2;0;0;3;3;1;5;5;100;5;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;2;3;13;13;1;5;5;100;4;0;2;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;3;3;1;4;0;0;3;1;1;1;1;0
3;3;2;13;13;1;4;4;100;0;0;0;0;0;0;0;4;0;0;2;2;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;1;0;0;1;1;0;0;3;3;1;3;1;0;3;1;1;1;1;0
3;1;0;15;15;1;3;3;100;2;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;1;3;3;1;3;2;5;3;1;1;1;1;0
3;1;0;8;8;1;2;2;100;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9;3;1;6;2;5;4;1;2;1;1;0
3;1;0;4;4;1;2;2;100;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;3;2;2;3;1;2;2;2;2;1;1;1
3;1;0;8;8;1;4;4;100;4;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;2;2;6;2;5;2;2;2;1;1;1
3;0;0;9;9;1;4;4;100;4;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;3;3;4;0;0;3;1;6;1;1;0
3;1;0;4;4;1;2;2;100;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;3;1;3;3;2;2;2;2;7;1;1;1
3;1;0;4;4;1;2;2;100;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;9;2;2;3;2;2;2;2;7;1;1;1
3;1;1;4;4;1;3;3;100;3;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;3;4;3;4;2;5;2;2;7;1;1;1
